CC(=O)N[C@H](C)c1ccc(C(=O)CCl)cc1 ZINC000004218879
CC[Si](C)(Cl)[C@H](CCl)c1ccccc1 ZINC000604939333
CCn1nccc1NC(=O)CBr ZINC000225814021
COC(=O)c1cccc2nc(CCl)[nH]c12 ZINC000071791040
CCc1cccc(OC(=O)CCl)c1 ZINC000001586486
O=C1C[C@H](CBr)CO1 ZINC000237986914
BrCCCn1cncn1 ZINC000036723778
C=Cc1ccccc1CCl ZINC000059591724
CCOC(=O)[C@@H](Br)C(C)=O ZINC000100093726
[N-]=[N+]=N[C@H](CBr)C1CCCC1 ZINC001857785018
ClCCOc1ccc2ccccc2c1 ZINC000001602252
C[C@@H](Cl)c1nc(-c2ccco2)no1 ZINC000020281089
C=C(CC)CBr ZINC000083821927
Cc1cnnc(CCl)c1 ZINC000261507723
NC(=O)c1nc(CCl)no1 ZINC000033414670
C[C@H](Br)Cc1ccncc1 ZINC000063044366
CCCCC(=O)OCCCl ZINC000001584000
CC[C@H](Br)C(=O)NCCOC ZINC000032919627
CN(C)C(=O)[C@H](Br)C#N ZINC000002389941
CCc1c(C)cnc(CCl)c1C ZINC000082048522
FC(F)(F)c1cccc(C(Cl)Cl)c1 ZINC000002555225
Cc1cc2c(=O)[nH]c(CCl)nc2s1 ZINC000004911348
O=C(CCCl)Nc1ccc(F)cc1 ZINC000002162158
C[C@H]1C[C@@H](CBr)CCO1 ZINC000085663711
O=C1[C@@H](Br)CCN1C1CCC1 ZINC000082607286
O=C(Nc1nccs1)[C@H](F)CCl ZINC000002027838
CCCCC[C@@H](C)CBr ZINC000078672407
O=[N+]([O-])CCCCCCCl ZINC000038218595
C[C@@H](Cl)OC(=O)C(C)(C)C ZINC000033506544
CCCC[C@@H](CC)CI ZINC000002579152
CO[C@H](CNC(=O)CCl)[C@H]1CCOC1 ZINC001875367443
ClCc1ncc(-c2ccco2)o1 ZINC000072207569
BrCCCCCc1ccccc1 ZINC000001726902
O=C(CCl)NC[C@]1(CF)CC12CCOCC2 ZINC001875370172
N#Cc1c(F)cccc1NC(=O)CCl ZINC000000164144
O=C(CCl)Nc1cc(F)cc(F)c1 ZINC000008730385
C[C@@H](Cl)C(=O)N[C@@H]1CC(C)(C)OC1(C)C ZINC001875377502
O=C(CCl)NCc1nccc(C(F)F)n1 ZINC001327498781
CCCc1ccc([C@H](C)NC(=O)CCl)cc1 ZINC000019094390
C[C@H](Cl)C(=O)N[C@@H]1CCCOCC1 ZINC000306579793
BrC1[C@H]2C=C[C@H]1c1ccccc12 ZINC000100879218
BrCC1C2CC3CC(C2)CC1C3 ZINC000088022326
BrC[C@@H]1[C@H]2CCOC[C@@H]21 ZINC001857778552
O=C(NCCCl)c1cccc(O)c1 ZINC000136575992
C[C@@H](CBr)N1CCCC1 ZINC000169279970
BrC[C@@H]1CC[C@H]2C[C@@H]2C1 ZINC000307526663
Cl[C@H]1OCCCC1(Cl)Cl ZINC000000158238
C[C@@]12CC[C@@](CBr)(CO1)C2 ZINC001857781735
N#C[C@@H](Cl)CCl ZINC000002043285
ClCCc1cnc[nH]1 ZINC000013283532
Cc1nc(CCl)ccc1F ZINC000095768611
CCOC(=O)[C@H]1CCCCN1C(=O)CCl ZINC000004219104
CC(=O)[C@@H](C)CCCl ZINC000104732343
FC(F)C[C@@H](CBr)c1ccccc1 ZINC000710440106
C[C@@H](Cl)C(=O)N1CCO[C@@](C)(C(F)F)C1 ZINC000698783572
BrC/C=C/C=C/CBr ZINC000100256118
ClC(Cl)[C@H](Cl)c1ccccc1 ZINC000001729715
COc1ccc(C(=O)CCCCl)c(OC)c1 ZINC000001635543
FC(F)COc1ccccc1CCl ZINC000037756188
COc1cc(C)nc(CCl)n1 ZINC000079244674
COc1ccc(OC)c(CBr)c1 ZINC000004207380
C[C@@H](Br)C(=O)NCc1ccco1 ZINC000041693433
CC(C)n1ncc2c1CC[C@H](Cl)C2 ZINC000575425794
COc1ccc(CCl)cc1[N+](=O)[O-] ZINC000001843200
C[C@@H](Cl)C(=O)N[C@H]1CCOc2ccccc21 ZINC000037389543
BrCc1c[nH]c2ccccc12 ZINC000037632801
OCc1cccc(CCl)c1 ZINC000021994833
C[C@H](Cl)C(=O)NC[C@@H]1CCOC2(CCC2)C1 ZINC001875375467
C[C@@]12CC[C@H](C[C@@H]1O)[C@@]2(C)CBr ZINC000100746656
ClCc1ccccn1 ZINC000008294964
O=S(=O)(C(Cl)Cl)C1CCCCC1 ZINC000101037765
COc1cc(-c2noc(CCl)n2)ncn1 ZINC000230141203
CC(=O)N[C@]1(C#N)CC[C@H](Cl)C1 ZINC000104458938
CS(=O)(=O)[C@H](Br)[C@H](O)C1CC1 ZINC000096519064
O=C(CCl)Nc1ccc2c(c1)COC2=O ZINC000015109085
CCCCCCC[C@H](C)Br ZINC000002147158
Cc1cccnc1C(C)(C)CNC(=O)CCl ZINC001875366087
