CC1(C)CC2(C(=O)O)CCC1(C)CC2 ZINC000096527983
C[N+]1(C)C[C@@H](O)C[C@@H]1C(=O)O ZINC000001531041
Cc1sccc1C(=O)O ZINC000002385502
O=C(O)c1cccc2c1oc1ccccc12 ZINC000003850975
O=C(O)C1C[C@@H]2CC(F)(F)C[C@H]2C1 ZINC000095835549
CC[C@H](C)c1ccc(OCC(=O)O)cc1 ZINC000000568658
Cc1cc(C(=O)O)c2cnn(C3CCCC3)c2n1 ZINC000012357797
Cc1ccc(N2CCC(C)(C(=O)O)CC2)nn1 ZINC000062843680
O=C(O)CS(=O)(=O)Cc1cccc(F)c1 ZINC000000260484
O=C(O)/C=C/c1csc(C(F)(F)F)c1 ZINC000521398894
Cc1nn(C)cc1CN1C[C@H](C(=O)O)CC1=O ZINC000034925074
O=C(O)[C@@H](O)Cc1cnc[nH]1 ZINC000095170286
O=C(O)c1ccc(NC(=O)[C@@H]2CCCO2)cc1 ZINC000004750399
O=C(O)CCNC(=O)[C@H]1CCCO1 ZINC000011891632
C[C@H](C#N)C(=O)O ZINC000006442499
O=C(O)c1ccc(C2CCC2)cc1 ZINC000001715563
C[C@H](Oc1cccc2c1OC(C)(C)C2)C(=O)O ZINC000007078267
Cc1c(F)c(C)c(C(=O)O)c(C)c1F ZINC000001706189
O=C(O)CCCCCC(=O)c1cccs1 ZINC000002378478
CC(C)c1ccc(CCC(=O)O)cc1 ZINC000002380222
O=C(O)[C@H]1C[C@H]1c1ccco1 ZINC000020380941
Cn1nc(C(=O)O)c2c1CC(C)(C)CC2 ZINC000107303636
CC(Cc1cccc(F)c1)(C(=O)O)C(=O)O ZINC000095347856
COC(=O)[C@@]1(C(=O)O)C[C@H]1C ZINC000113683351
O=C1CC[C@@H]2C[C@@H](C(=O)O)C[C@@H]2C1 ZINC000242592330
CCc1nc2ccc(C(=O)O)cn2n1 ZINC000082749731
CC(C)(C(=O)O)c1ccc(F)c(F)c1 ZINC000055236570
CC(C)(C)OC(=O)[C@H](C(=O)O)C1CCCC1 ZINC000395502969
O=C(O)[C@@H]1[C@H]2C=CS[C@H]21 ZINC000167440641
COc1cccc([C@@H](OC)C(=O)O)c1 ZINC000071607097
Cc1csc(-c2ccccc2)c1C(=O)O ZINC000004088381
C[N+](C)(C)CCOC(=O)CCC(=O)O ZINC000002272642
O=C(O)C12CCCC(F)(CC1)CC2 ZINC000575624079
CC(C)(C)c1cnc(CCC(=O)O)o1 ZINC000040543077
COc1ccc(F)c(-c2cccc(C(=O)O)c2)c1 ZINC000065336983
O=C(O)C1(CN2CCOCC2)CC1 ZINC000049805959
O=C(O)c1ccc2cc[nH]c2n1 ZINC000014984893
CC(C)n1nc2ccc(C(=O)O)cc2n1 ZINC000107838356
O=C(O)CSc1nnnn1C1CCCCC1 ZINC000000179691
O=C(O)c1ccc(-c2ncccn2)cc1 ZINC000001436126
O=C(O)c1cn(-c2ccc(F)cc2)cn1 ZINC000012404851
CCC(=O)Nc1ccc([N+](=O)[O-])cc1C(=O)O ZINC000004793968
O=C(O)c1cc(C2CC2)nc(=O)[nH]1 ZINC000032007383
O=C(O)[C@@H]1[C@@H]2C[C@@H]3[C@H](C2=O)[C@@H]31 ZINC000169487626
CC(=O)N1CCN(C(=O)CCC(=O)O)CC1 ZINC000000386722
CC1(COc2ccc(C(=O)O)cc2)COC1 ZINC000085652936
O=C(O)c1cnc(C(F)(F)C(F)(F)F)nc1 ZINC000008699920
CC(C)(C)OC(=O)N1CCCC[C@H]1CC(=O)O ZINC000001436070
CCOc1ccc(-c2cc(CC(=O)O)no2)cc1 ZINC000062716542
O=C(O)CC1(O)CCOCC1 ZINC000052249147
COC[C@]1(C(=O)O)CCCO1 ZINC000306212131
CCn1ccc(COCCCC(=O)O)n1 ZINC000012398874
COC(=O)c1cn([C@H](C)C(=O)O)nc1[N+](=O)[O-] ZINC000408716949
N#Cc1ccc(C(=O)O)cc1[N+](=O)[O-] ZINC000075629647
