COc1ccc(Br)cc1[N+](=O)[O-] ZINC000002516087
C[C@H](O)c1nc2cc(Br)ccc2[nH]1 ZINC000011535781
Fc1ccccc1-n1cc(Br)cn1 ZINC000016159027
COc1ccc(Br)c(OC)c1OC ZINC000000404177
CCCOc1cnc(Br)cn1 ZINC000035635792
O=C1CSc2cc(Br)ccc2N1 ZINC000000058208
COc1cnc(Br)c(F)c1 ZINC000095628548
O=[N+]([O-])c1ccc(F)c(F)c1Br ZINC000000081184
O[C@H]1COc2c(Cl)cc(Br)cc21 ZINC000084150257
CC(=O)/C=C/c1cc(Br)ccc1O ZINC000001803126
N#Cc1cc([N+](=O)[O-])c(F)cc1Br ZINC000199752402
COC(=O)Cc1cc(Br)c(C)cn1 ZINC000306669922
C[C@@H](O)c1c(F)cc(Br)cc1F ZINC000075852785
C=C(c1ccc(Br)cn1)N(C)C ZINC000100994755
N#C/C=C/c1ccc(Br)cc1 ZINC000001854255
Cc1c(Br)ccc2ncnn12 ZINC000026894578
O=C1Cc2cc(Br)cc(F)c2N1 ZINC000064033785
Cc1cc(Cl)c(C=O)c(=O)n1C1CCCC1 ZINC000019945117
Brc1cccc(SCC2CC2)c1 ZINC000015444661
O=C(Cl)c1ccnc(Br)c1 ZINC000021984939
COc1cc(Br)c(OC)c(C=O)c1 ZINC000000522670
C[C@H](O)c1cc(Br)ccn1 ZINC000219925554
ON=Cc1ccc(Br)s1 ZINC000252370137
CC(C)Oc1ccc(Br)cc1Cl ZINC000002545228
OCc1c(F)cccc1Br ZINC000054962360
Oc1c(F)ccc(Cl)c1Br ZINC000075882635
Cc1c(Br)cncc1C1CC1 ZINC000090413842
COc1cc(CO)cnc1Br ZINC000306738359
COc1ccc(C=O)cc1Cl ZINC000000586297
Ic1ccc(C2CC2)cc1 ZINC000003096025
COC(=O)c1c(Br)nn(C)c1C ZINC000260746531
Cc1cc(Br)cc([N+](=O)[O-])c1C#N ZINC000115915120
Cc1ccnc(-c2ccc(Br)cn2)c1 ZINC000045028432
Brc1ccn2nccc2n1 ZINC000064033446
OCc1c(F)ccc(Br)c1Cl ZINC000169795923
Clc1nccc(I)n1 ZINC000079067091
Brc1cncc(N2CCCC2)n1 ZINC000044116749
O=Cc1c(Br)nc2n1CCOC2 ZINC000536948674
CCc1[nH]c2ncc(Cl)cc2c1C=O ZINC000095937226
Oc1cc(Br)ccc1Cl ZINC000000336744
CCOC(=O)c1ccc(C=O)c(Cl)c1 ZINC000082046527
Cc1cc([S@](=O)O)ccc1Br ZINC000112954688
CCc1ccc(NC(C)=O)cc1Br ZINC000000398783
Fc1cc(Cl)cc(Br)c1Cl ZINC000000160403
Brc1ccccc1-c1ccccn1 ZINC000039426854
O=CCCc1ccccc1Br ZINC000060710424
COc1ccc(Br)cc1C(F)F ZINC000095218123
COCCCOc1ccccc1Br ZINC000037506356
C=CCc1cc(C=O)cc(Br)c1O ZINC000090735494
Brc1cccc(-c2ccccc2)c1 ZINC000001600080
O=c1[nH]c2c(Br)cccc2c(=O)o1 ZINC000012650670
O=C1NCCn2cc(Br)cc21 ZINC000141053676
