Cc1cc(CCN)ccc1F ZINC000036180318
C[C@@H]1OC(C)(C)N(C(=O)OC(C)(C)C)[C@@H]1CN ZINC000068593348
COC(=O)[C@@H]1NCCC[C@@H]1Cc1ccccc1 ZINC000221030569
CC1(C)CCNCC[S@@]1=O ZINC000238854038
CCN[C@H](CC)C(=O)c1ccc(C)cc1 ZINC000071509591
CC[C@@H](CO)NCc1cccn1C ZINC000000360295
CN[C@@H](C(N)=O)c1ccc(OC)c(OC)c1 ZINC000037869916
CNC(=O)[C@H]1CN(c2ccc(OC)cc2)CCN1 ZINC000072343575
C1CN(C2C[C@@H]3CC[C@H](C2)N3)CCO1 ZINC000014629102
CCCCCCNCc1cn(C(C)C)nc1C ZINC000256052027
CN(C1CCNCC1)S(C)(=O)=O ZINC000036299968
CC[C@H](C)N[C@@H]1C[C@H]2CC[C@H]1C2 ZINC000101616811
Cc1ccc([C@H]2CNC[C@@H]2CO)o1 ZINC000409423141
N[C@H]1COC[C@H]1Nc1cccc(C(F)(F)F)c1 ZINC000218678945
Nc1nc(N2CCOCC2)[nH]c(=S)n1 ZINC000020160781
CN1CCC2(CC1)CNCCCN2C ZINC000059270562
Cc1nn(C)c(C)c1-c1noc([C@@H](C)N)n1 ZINC000095095291
CN[C@H](C)[C@@H](O)c1cccc(F)c1 ZINC000077270735
COc1cccc([C@@H](N)c2nc(C)n(C)n2)c1 ZINC000095533638
CCCOCCOCC[C@@H]1CCCCN1 ZINC000042772128
CCCN[C@@H](C)c1cccs1 ZINC000019488692
COC(=O)[C@@H](N)Cc1cccc2[nH]ccc12 ZINC000070735451
C[C@H]1CCO[C@@H](c2ccccc2)CN1 ZINC000133793349
CC[C@@H](N)c1cnc(Oc2ccccc2)cc1C ZINC000072223163
COc1ccc(NC(=O)[C@@H]2CCCO2)c(N)c1 ZINC000020157229
CCCCCNCc1ccnn1CC(F)(F)F ZINC000256051506
CN[C@H](C)Cc1ccccc1 ZINC000008466459
N#CCCCNCc1ccccc1 ZINC000020038322
Cc1c(C)c2c(c(C)c1O)CC[C@](C)(CN)O2 ZINC000140622352
COc1ccc(CO[C@@H]2CCCNC2)cc1 ZINC000043501569
O[C@]1(CN2CCCCC2)CCNC1 ZINC000212045562
COC(=O)CO[C@@H]1CCCNC1 ZINC000211999890
NCc1cccs1 ZINC000000154648
Cc1ccc([C@H]2CNCCN2)cc1C ZINC000039115428
CC[C@H](C)[C@H](N)C(=O)NCCOC ZINC000011959271
c1csc(-c2cnnn2C2CNC2)n1 ZINC000685952043
N[C@@H]1C[C@@H]1C1CCCC1 ZINC000051690490
COC(=O)[C@H](C)CN[C@H]1CCCC[C@@H]1C ZINC000035133349
Cc1cc(N)c(N)cn1 ZINC000040448828
Cc1cccc2[nH]c(-c3ccc(N)cc3)nc12 ZINC000000235496
CNC(=O)[C@@]1(C)CCCN1 ZINC000019686122
Nc1ccccc1CNc1ccccc1 ZINC000032132804
Cc1cnn(C[C@H]2CCCN2)c1 ZINC000043496135
CN1CCN[C@@H]2CN(Cc3ccccc3)C[C@@H]21 ZINC000225673960
COC(=O)C(C)(C)NCc1ccccc1 ZINC000090225611
CCC[C@H](N)CN1CCCN(C)CC1 ZINC000036873598
C[C@H]1CCCC[C@H]1NCCc1cccs1 ZINC000019948562
N#Cc1cccc([C@@H](N)CO)c1 ZINC000072197245
Nc1ccnc(N)c1[N+](=O)[O-] ZINC000019802592
NCc1cc(-c2ccc(F)cc2)no1 ZINC000020440801
C1CCC[C@@H]2NC[C@@H]2CC1 ZINC000024192144
Nc1nccc(/C=C/c2ccccc2)n1 ZINC000058593499
CNc1cc(C)nc(N)n1 ZINC000038803849
COc1ccc(N2CCN(C)CC2)c(N)c1 ZINC000045886093
C#CCOC[C@@H]1CCCNC1 ZINC000014631073
CCCNCc1cccc(O)c1 ZINC000019439634
CC1(C)NC(=O)C[C@H]1N ZINC000409434482
COCCN[C@@H]1CCCc2cccnc21 ZINC000085789435
COCCNCc1cnn(CC(F)F)c1 ZINC000054720428
C[C@@H]1CC[C@@](C)(C(=O)CN)C1(C)C ZINC000004266803
NCC1Oc2ccccc2O1 ZINC000082847276
NC(=O)CCc1cccc([C@@H]2CCCNC2)n1 ZINC000072344280
Nc1cnn2cnnc2c1 ZINC000001730469
CCOC(=O)Cc1ccncc1N ZINC000039225590
CC[C@@]1(CN)CC(C)=NO1 ZINC000035655717
O=C1NCCC[C@@]12CCNC2 ZINC000076590133
CN1CCCN=C1CN ZINC000100123975
O=C(NC1CCNCC1)c1ccc[nH]c1=O ZINC000037116507
Cc1ccc(-c2nc(CN)cs2)cc1 ZINC000011568376
C[C@H](N)C12CC3CC(CC(C3)C1)C2 ZINC000003831429
CN1CCN(CCC2CCNCC2)S1(=O)=O ZINC000082659183
CCS(=O)(=O)[C@@H](C)[C@@H](N)C1CC1 ZINC000096524857
CNCCC1(O)CCCC1 ZINC000019091123
c1ccc(CN2CC[C@H]3CNC[C@H]3C2)cc1 ZINC000082369460
C[C@H](N)CCN1CCCCC1 ZINC000013483559
CNCCCOc1cc(C)ccc1C ZINC000019094313
CN[C@@H](C)c1sc(-c2ccc(C)cc2)nc1C ZINC000040994230
C#CCNCc1ccc(OC)cc1 ZINC000054958183
Nc1ccc(-c2nnc(C3CC3)o2)cc1 ZINC000019815106
COc1cccc(NC(=O)c2ccc(N)cc2)c1 ZINC000007468111
FC(F)(F)CN1C[C@@H]2CNC[C@H]2C1 ZINC000088288066
CC[C@H](C(=O)N1CCC(N)CC1)c1ccccc1 ZINC000019402572
CC[C@H]1NCC[C@@H]1C ZINC000003733587
CCOc1ccc(Nc2ncc(C=O)cn2)cc1 ZINC000008702946
C[C@H]1CCN(C)C(=O)[C@H]1CN ZINC000217544629
COc1ccccc1N1CCN[C@H]2CCC[C@H]21 ZINC000218844176
CCOC(CNC1CCCCC1)OCC ZINC000071196120
CCNC[C@@H](C)N1CCCC1 ZINC000022073562
c1nc(N2CCNCC2)c2cn[nH]c2n1 ZINC000006188128
NCCCNC(=O)c1ccccc1F ZINC000019473217
CCc1ncc(CNC)s1 ZINC000038000530
CC[C@H](O)[C@H]1CCCN1 ZINC000033961371
c1ccc(CN[C@@H]2CCCOC2)cc1 ZINC000071011715
c1cc2c(cc1OCCC1CCNCC1)CCC2 ZINC000014632396
OCCNCCNC/C=C/c1ccccc1 ZINC000023468477
C1CO[C@@H]2C[C@@H]2N1 ZINC000057219031
CC(C)C[C@H](N)c1nn[nH]n1 ZINC000039135211
CC(C)CN[C@@H](C)c1cccs1 ZINC000019883056
c1ccc2c([C@@H]3COCCN3)csc2c1 ZINC000095692958
CCCCN[C@@H](C)c1cc(F)ccc1F ZINC000019907100
Nc1ccc2c([N+](=O)[O-])cccc2c1 ZINC000000345511
CCc1ccc2ccccc2c1N ZINC000001683080
CC(C)(C)OC(=O)N1C[C@H]2CC[C@H](N)[C@H]2C1 ZINC000091304836
