C[C@H](C(=O)O)N(C)c1cccc(Cl)c1 ZINC000224988055
N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)O ZINC000002020167
C/C(=C\Br)C(=O)O ZINC000004824551
O=C(O)c1cn[nH]c1-c1ccc(Cl)s1 ZINC000035286294
Cc1cccc(Cl)c1OCC(=O)O ZINC000001732177
C[C@H](CC(=O)O)Sc1ccc(Cl)cc1 ZINC000005211630
N[C@@H](CC(=O)O)Cc1c(Cl)cccc1Cl ZINC000057956396
COc1cc(C)c(Br)c(C(=O)O)c1 ZINC000016697055
COc1ccc(C(=O)O)c(Br)n1 ZINC000095830102
O=C(O)C=C(Cl)Cl ZINC000002039450
O=C(O)[C@@H]1CCCN1c1ccc(Cl)nn1 ZINC000004778725
CC(C)Oc1cccc(C(=O)O)c1Cl ZINC000307596987
O=C(O)Cc1cccn1-c1cccc(Cl)c1 ZINC000169676775
O=C(O)c1ccc2ccc(Cl)cc2n1 ZINC000026474817
O=C(O)[C@@H]1C[C@]12CCOc1ccc(Cl)cc12 ZINC000217037557
O=C(O)C1(c2c(F)cccc2Cl)CCC1 ZINC000020429428
Cn1c(C(=O)O)c(Cl)c2c(Cl)cccc21 ZINC000072220924
O=C(O)/C=C\c1ccc(Cl)c(Cl)c1 ZINC000006092108
O=C(O)c1cc2c(nc1Cl)CCCC2 ZINC000049815058
O=C(O)CCOc1cc(Cl)ccc1Cl ZINC000000334862
O=C(O)Cc1cc(Cl)ccc1O ZINC000001685368
O=C(O)CCc1cc(Br)ccc1O ZINC000011962376
Cc1cc(O[C@@H](C)C(=O)O)ccc1Cl ZINC000001019009
O=C(O)[C@@H](Cl)c1ccccc1Cl ZINC000071509217
O=C(O)c1cc(O)ccc1C=C(Cl)Cl ZINC000012428543
O=C(O)c1cc([N+](=O)[O-])cnc1Br ZINC000035567201
CC(C)[C@H](NCc1ccc(Cl)cc1)C(=O)O ZINC000019787758
Cc1cccc(C(=O)O)c1Br ZINC000000404236
CC(C)[C@@H](Oc1ccc(Cl)cc1)C(=O)O ZINC000011959559
Nc1cc(F)cc(Br)c1C(=O)O ZINC000258837501
Cc1cc(Cl)c([N+](=O)[O-])cc1C(=O)O ZINC000034520872
Cc1c(Cl)ccc([C@@H](O)C(=O)O)c1Cl ZINC000263624442
N[C@@H](c1ccc(Cl)cc1)C(F)(F)C(=O)O ZINC000044139085
Cc1nc2onc(C)c2c(C(=O)O)c1Cl ZINC000012396203
Nc1c(C(=O)O)ccc(Br)c1F ZINC000169801054
COc1c(F)cc(C[C@@H](N)C(=O)O)cc1Cl ZINC000038529565
N[C@]1(C(=O)O)C[C@H]1c1ccc(Cl)cc1Cl ZINC000062712940
COc1ccc(Cl)cc1[C@H](N)CC(=O)O ZINC000002582513
O=C(O)c1c(Cl)cccc1OC(F)(F)F ZINC000238700492
O=C(O)c1cc2nc(Br)sc2[nH]1 ZINC000145382260
O=C(O)c1cc([N+](=O)[O-])ccc1Cl ZINC000000156878
O=C(O)CSc1ccc(Br)cc1 ZINC000003886534
CCOc1ccc(CNCC(=O)O)cc1Cl ZINC000041689146
C[C@]1(C(=O)O)CC(=O)N=C2C=CC(Cl)=CN21 ZINC000004294760
O=C(O)CCNC(=O)c1ccc(Cl)cc1 ZINC000003887259
CC(C)c1cc(C(=O)O)ccc1Br ZINC000098181646
CS(=O)(=O)Nc1ccc(C(=O)O)c(Cl)c1 ZINC000042417429
CN[C@@](C)(C(=O)O)c1ccc(Cl)cc1Cl ZINC000037180409
Cc1nc(Cl)c(C)c(C(=O)O)n1 ZINC000001766971
Cc1nc(-c2ccc(Cl)cc2)ncc1C(=O)O ZINC000022124006
O=C(O)c1cn(-c2cccc(Cl)c2)cn1 ZINC000034212113
O=C(O)Cc1ccc(Br)nc1 ZINC000082969685
O=C(O)[C@H]1CNC[C@@H]1c1ccccc1Cl ZINC000056958686
CC[C@@](O)(C(=O)O)c1cccc(Cl)c1 ZINC000040733724
Cc1nn(-c2ccc(Cl)cc2)cc1C(=O)O ZINC000034937852
O=C(O)c1cc(Nc2ncccn2)ccc1Cl ZINC000037642051
O=C(O)c1cc(F)c(Cl)cc1Cl ZINC000000056742
C[C@@H](NC(=O)Nc1ccccc1Cl)C(=O)O ZINC000005912653
CC1(C)[C@H](/C=C(/Cl)C(F)(F)F)[C@@H]1C(=O)O ZINC000095887427
N[C@@H](Cc1ccc(Cl)nc1)C(=O)O ZINC000039120747
C[C@H](NCc1ccc(Cl)cc1Cl)C(=O)O ZINC000019787731
O=C(O)C1(c2cc(Cl)ccc2Cl)CCC1 ZINC000238694356
Cc1nn(CC(=O)O)c(Cl)c1Cl ZINC000063772473
CSc1cc(C(=O)O)ccc1Cl ZINC000035287618
O=C(O)CNCc1ccc(Cl)c(Cl)c1 ZINC000001731342
O=C(O)[C@H]1CNc2ccc(Cl)cc2C1 ZINC000082373030
O=C(O)c1cc2ccc(Cl)n2cn1 ZINC000035269954
Cn1c(C(=O)O)c(Cl)c2cc(Cl)ccc21 ZINC000026461622
O=C(O)c1cc(-c2cccc(Cl)c2)[nH]n1 ZINC000004244816
O=C(O)c1ccc2occ(Cl)c2c1 ZINC000095630394
C=CCOc1ccc(/C=C/C(=O)O)cc1Cl ZINC000002140858
CC(C)c1ccc(Cl)cc1C(=O)O ZINC000214131513
Cn1cc(Cl)c(C(=O)O)n1 ZINC000004253096
O=C(O)c1ccc(Cl)c(F)c1Cl ZINC000035065824
O=C(O)/C=C/Nc1cc(Cl)ccc1Cl ZINC000012176803
O=C(O)c1ccc(-c2ccc(Cl)cc2)[nH]c1=O ZINC000004235040
O=C(O)C1(c2ccnc(Cl)c2)CC1 ZINC000083282457
CCc1c(C)nc(Cl)c(C(=O)O)c1C(=O)O ZINC000078549795
NC[C@@H](C(=O)O)c1ccc(Cl)cc1 ZINC000026895636
O=C(O)c1ncccc1I ZINC000005944065
CNc1ncc(Br)cc1C(=O)O ZINC000004228123
O=C(O)Cc1cc(-c2ccc(Cl)cc2)on1 ZINC000020270420
O=C(O)c1cc(Cl)nc(Cl)c1O ZINC000002525009
O=C(O)COc1c(Cl)cccc1Cl ZINC000000123600
O=C(O)CCc1onc(Cl)c1[N+](=O)[O-] ZINC000014608628
CC[C@H](Nc1ccccc1Cl)C(=O)O ZINC000008730610
O=C(O)/C=C/c1cccn1-c1ccc(Cl)cc1 ZINC000044201136
N#C[C@H](CC(=O)O)c1ccc(Cl)cc1Cl ZINC000034573370
O=C(O)c1nc2cccc(Cl)n2c1Cl ZINC000044676339
COc1c(Cl)cc(Cl)cc1CC(=O)O ZINC000003750815
Cc1ccc(Cl)cc1C(=O)CCC(=O)O ZINC000074418861
O=C(O)c1cn2cc(Cl)cc(Cl)c2n1 ZINC000003742145
N[C@]1(C(=O)O)C[C@@H]1c1cc(Cl)cc(Cl)c1 ZINC000062713261
Nc1cc(Br)cc(C(=O)O)c1 ZINC000000392819
O=C(O)c1cc(-c2ccc(Cl)cc2)ncn1 ZINC000071545197
O=C(O)CNCc1ccc(Cl)cc1Cl ZINC000019787687
O=C(O)c1cn(-c2cc(F)cc(Cl)c2)nn1 ZINC000230024691
O=C(O)CNC(=O)c1ccc(F)cc1Cl ZINC000020284693
O=C(O)/C=C/c1cc(Cl)c2c(c1)OCCO2 ZINC000004205063
CS(=O)(=O)c1csc(C(=O)O)c1Cl ZINC000001037594
COC(=O)c1cc(Cl)cc(C(=O)O)n1 ZINC000066348725
O=C(O)c1scc(Cl)c1OC(F)F ZINC000096510958
O=C(O)C1(c2ccc(F)c(Cl)c2)CCC1 ZINC000095763500
C/C(=C/C(=O)Nc1ccc(Cl)cc1)C(=O)O ZINC000002789049
COc1c(C(=O)O)sc2cc(Cl)ccc12 ZINC000098181541
O=C(O)c1cc2scc(Cl)c2[nH]1 ZINC000072226023
O=C(O)CCCn1nccc1Br ZINC000096509881
O=C(O)/C(Cl)=C/c1ccccc1 ZINC000033846516
O=C(O)c1coc(Br)n1 ZINC000044184982
Cn1nc(C(=O)O)cc1-c1ccc(Cl)cc1 ZINC000006677789
O=Cc1scc(Br)c1C(=O)O ZINC000071783555
O=C(O)Cc1nccnc1Cl ZINC000095743078
O=C(O)c1nnc(Cl)c2ccccc12 ZINC000000194638
C[C@]1(C(=O)O)CC[C@@H]2C(Br)=C[C@]21C ZINC000238950392
O=C(O)c1cnn(Cc2cccc(Cl)c2)c1 ZINC000012357810
C[C@@H](C(=O)O)c1ccc(Cl)c(Cl)c1 ZINC000019726375
O=C(O)C(=O)/C=C/c1ccc(Cl)cc1 ZINC000001691342
Cc1cc(C)c(C(=O)O)c(Br)c1O ZINC000004776273
O=C(O)c1ncoc1-c1cccc(Cl)c1 ZINC000000107964
COc1cc(Cl)c(Cl)c(C(=O)O)c1O ZINC000040544954
Cc1ccc(F)c2nc(Cl)cc(C(=O)O)c12 ZINC000218689247
O=C(O)[C@H]1CC[C@@H]1c1ccc(Cl)c(Cl)c1 ZINC000087925073
O=C(O)c1cnc2c(Br)cnn2c1 ZINC000095627128
O=C(O)c1cccc2cncc(Cl)c12 ZINC000498047861
COc1cc(Cl)c(C)cc1C(=O)O ZINC000082724843
O=C(O)CCn1ccc2c(Cl)cccc21 ZINC000040162954
O=C(O)c1conc1-c1ccc(Cl)cc1 ZINC000020440866
O=C(O)CC(=O)Nc1cccc(Cl)c1 ZINC000001396851
Cc1ccc(Br)nc1C(=O)O ZINC000096034437
O=C(O)c1cc(Cl)c(F)c(C(F)(F)F)c1 ZINC000036406019
O=C(O)Cc1cc2cc(Cl)ccc2[nH]1 ZINC000020269256
N[C@@H](CC(=O)O)c1ccccc1Cl ZINC000000169787
CC(C)[C@@](O)(C(=O)O)c1ccc(Cl)cc1 ZINC000071777494
O=C(O)[C@H](O)c1cccc(Cl)c1Cl ZINC000040733905
O=Cc1cc(Cl)ncc1C(=O)O ZINC000095630350
Cc1cc(Br)cc(C(=O)O)n1 ZINC000071255541
O=C(O)CCCn1ncc(Cl)c1C(F)F ZINC000408717239
CSc1ccc(Cl)cc1CC(=O)O ZINC000003750861
Nc1c(F)cc(CC(=O)O)cc1Cl ZINC000228906789
COc1nc(Br)ccc1C(=O)O ZINC000079062168
O=C(O)c1cc2sc(Cl)cc2[nH]1 ZINC000040974876
C[C@@H](Oc1ccc(Cl)cc1[N+](=O)[O-])C(=O)O ZINC000002526132
Cc1c(C(=O)O)ccc(Br)c1Cl ZINC000067802808
N[C@@H](CC(=O)O)c1cccnc1Cl ZINC000044197652
CN[C@@](C)(C(=O)O)c1ccc(Cl)cc1 ZINC000037180615
O=C(O)c1conc1-c1c(F)cccc1Cl ZINC000071550862
CN[C@@H](C(=O)O)c1cccc(Cl)c1 ZINC000037181021
O=C(O)c1cccc2nc(Cl)ccc12 ZINC000026507193
CC(=O)N(CC(=O)O)Cc1ccc(Cl)cc1 ZINC000032099966
O=C(O)[C@@H]1C(=O)NC[C@@H]1c1ccc(Cl)cc1 ZINC000022782125
N[C@H](Cc1ccc(Cl)c([N+](=O)[O-])c1)C(=O)O ZINC000044283631
O=C(O)c1ccc([N+](=O)[O-])cc1Cl ZINC000000032336
O=C(O)c1cc(F)cc(C(F)(F)F)c1Cl ZINC000396166986
